id,text,category
0,勤工俭学机会来啦！日结180元，无需押金，线上兼职。加入我们的QQ群：987654322，和小伙伴们一起赚外快吧！,1
1,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：876543219，详聊,1
2,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：345612789，一起赚钱,1
3,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：623485791。,1
4,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：519843267。,1
5,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：937258416，赶紧加入吧,1
6,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：416295837，一起奉献爱心。,1
7,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：729154638，快来了解一下,1
8,勤工俭学，日结200元，无需押金，兼职时间灵活。加入我们的QQ群：264183579，和志同道合的朋友一起工作,1
9,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：819647325，详聊,1
10,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：427963518，一起参与公益活动吧,1
11,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：538179642，获取更多信息。,1
12,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：951287346。,1
13,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：732416958，赶紧加入吧,1
14,招募志愿者，无需经验，时间灵活，日结200元。加入QQ群：638495217，一起奉献爱心。,1
15,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：527913846，快来了解一下,1
16,勤工俭学，日结180元，无需押金，兼职时间灵活。加入我们的QQ群：374829651，和志同道合的朋友一起工作,1
17,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：582943716，详聊,1
18,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：712546839，一起参与公益活动吧,1
19,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：469215738，获取更多信息。,1
20,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：896514732，详聊,1
21,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：327418569，一起奉献爱心。,1
22,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：617293845，快来了解一下,1
23,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：421395876，和小伙伴们一起赚外快吧,1
24,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：764291358。,1
25,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：854621739，赶紧加入吧,1
26,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：932571864，一起赚钱,1
27,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：649283715。,1
28,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：573819624，一起赚钱,1
29,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：785413962，详聊,1
30,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：496128357，一起参与公益活动吧,1
31,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：831947526，获取更多信息。,1
32,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：579418632。,1
33,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：732561849，赶紧加入吧,1
34,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：316498257，一起奉献爱心。,1
35,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：627534981，快来了解一下,1
36,勤工俭学，日结180元，无需押金，兼职时间灵活。加入我们的QQ群：498325716，和志同道合的朋友一起工作,1
37,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：718349625，详聊,1
38,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：526319487，一起参与公益活动吧,1
39,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：874563921，获取更多信息。,1
40,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：628491735，详聊,1
41,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：314928567，一起奉献爱心。,1
42,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：624813597，快来了解一下,1
43,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：481395276，和小伙伴们一起赚外快吧,1
44,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：679185243。,1
45,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：849516273，赶紧加入吧,1
46,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：932568147，一起赚钱,1
47,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：691237458。,1
48,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：572843196，一起赚钱,1
49,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：785239416，详聊,1
50,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：412693857，一起参与公益活动吧,1
51,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：837461529，获取更多信息。,1
52,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：579138624。,1
53,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：738416529，赶紧加入吧,1
54,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：315247869，一起奉献爱心。,1
55,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：672139548，快来了解一下,1
56,勤工俭学，日结180元，无需押金，兼职时间灵活。加入我们的QQ群：495278631，和志同道合的朋友一起工作,1
57,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：712365849，详聊,1
58,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：523917468，一起参与公益活动吧,1
59,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：896247531，获取更多信息。,1
60,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：629178435，详聊,1
61,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：314569827，一起奉献爱心。,1
62,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：617482395，快来了解一下,1
63,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：489627315，和小伙伴们一起赚外快吧,1
64,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：697315824。,1
65,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：845291673，赶紧加入吧,1
66,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：926514738，一起赚钱,1
67,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：615849327。,1
68,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：574916328，一起赚钱,1
69,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：785421639，详聊,1
70,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：429856731，一起参与公益活动吧,1
71,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：927413586，获取更多信息。,1
72,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：586241739。,1
73,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：759826341，赶紧加入吧,1
74,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：618294537，详聊,1
75,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：342691758，一起奉献爱心。,1
76,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：729831456，快来了解一下,1
77,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：465927318，和小伙伴们一起赚外快吧,1
78,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：697438215。,1
79,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：832169457，赶紧加入吧,1
80,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：947382165，一起赚钱,1
81,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：613849257。,1
82,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：576924831，一起赚钱,1
83,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：741369285，详聊,1
84,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：534297618，一起参与公益活动吧,1
85,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：813592476，获取更多信息。,1
86,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：697318524。,1
87,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：835197426，赶紧加入吧,1
88,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：629438175，详聊,1
89,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：312695487，一起奉献爱心。,1
90,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：678924513，快来了解一下,1
91,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：459813627，和小伙伴们一起赚外快吧,1
92,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：691734528。,1
93,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：823914567，赶紧加入吧,1
94,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：974852163，一起赚钱,1
95,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：613758429。,1
96,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：547619238，一起赚钱,1
97,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：743516289，详聊,1
98,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：542316897，一起参与公益活动吧,1
99,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：896241357，获取更多信息。,1
100,招募勤工俭学同学（男女不限），日结180元，无需押金，线上兼职，加入QQ群：429876153，一起赚钱,1
101,招聘勤工俭学兼职，日结150-200元，线上工作，无需出校门。加入QQ群：517483629，获取详细信息。,1
102,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息，群号：593816427。,1
103,急招勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：784519236，赶紧加入吧,1
104,招募10位勤工俭学同学，男女生不限，日结150-200元，线上兼职，无需出校门。加入QQ群：946817523，一起赚钱,1
105,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：328964175，一起奉献爱心。,1
106,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入QQ群：496381752，和小伙伴们一起赚外快吧,1
107,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息，群号：618294357。,1
108,急需勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：832597461，赶紧加入吧,1
109,招募勤工俭学同学（男女不限），日结150-200元，无需押金，线上兼职。加入QQ群：429317586，一起赚钱,1
110,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：712589364，快来了解一下,1
111,招聘勤工俭学兼职，每日结算，待遇优厚。加入QQ群：619483527，详聊,1
112,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：345926871，一起奉献爱心。,1
113,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：456913827，和小伙伴们一起赚外快吧,1
114,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息，群号：628491537。,1
115,急需勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：739816452，赶紧加入吧,1
116,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：974523681，一起赚钱,1
117,同学们好，这是咱们学校的勤工俭学协会服务中心QQ群，平时要是没有课了的话，有想勤工俭学的可以进群了解一下哈，明天周四将发布兼职信息欢迎，群号：639485217。,1
118,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：574291386，一起赚钱,1
119,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：731846529，详聊,1
120,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：512697348，一起参与公益活动吧,1
121,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：829317546，获取更多信息。,1
122,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：697428513。,1
123,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：835217469，赶紧加入吧,1
124,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：623941758，详聊,1
125,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息，群号：613728459。,1
126,急需勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：829174563，赶紧加入吧,1
