id,text,category
0,话说体测不合格会怎样（,normal
1,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：819647325，详聊,fraud
2,在学习通里的最后一篇章节就是,normal
3,还稳定,normal
4,有推荐吗,normal
5,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：481395276，和小伙伴们一起赚外快吧,fraud
6,rm是萝卜坑不,normal
7,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：572931468，一起赚钱,fraud
8,21世纪还长着呢,normal
9,"[CQ:face,id=344][CQ:face,id=344]",normal
10,"[CQ:reply,id=-1223930726][CQ:at,qq=2094956774] [CQ:at,qq=2094956774] 你是不是刚刚还去问了一下",normal
11,"[CQ:reply,id=63489335]转电计吧，去年化工转了10个好像就两个还有希望保研[CQ:face,id=277]",normal
12,"[CQ:reply,id=-2081736249][CQ:at,qq=534139438] [CQ:at,qq=534139438] ？！",normal
13,我感觉万院士精神失常之前应该是个很好的人,normal
14,"我看贴吧上说不影响毕业，不知道是不是真的[CQ:face,id=174]",normal
15,(200分钟国内通话+3000分钟校园卷语音+赠送3个亲情号互打免费不限时),normal
16,你最好不是在开玩笑?,normal
17,有啥可哭的……,normal
18,唉,normal
19,所以放心买华为吧,normal
20,不是现在考虑的,normal
21,看啥样的任务吧,normal
22,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：741286539，详聊,fraud
23,"我就知道我确实是不适合学这玩意了[CQ:face,id=344]",normal
24,我也0分,normal
25,卧槽,normal
26,电赛大佬在哪,normal
27,。,normal
28,不想活啦,normal
29,上头,normal
30,什么公众号！,normal
31,他wys嘛,normal
32,"[CQ:reply,id=-1390451521][CQ:at,qq=957188082] 中肯的",normal
33,有什么推荐吗,normal
34,想保研的话数计还要多修数应的专业课,normal
35,大帝发话了,normal
36,勤工俭学，日结180元，无需押金，兼职时间灵活。加入我们的QQ群：374829651，和志同道合的朋友一起工作,fraud
37,急需勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：745819236，赶紧加入吧,fraud
38,上学期直接扫码自己填表的及格了,normal
39,比我高,normal
40,我们去年是30,normal
41,但是想用到推免加分上,normal
42,“王源演唱会穿过的婚纱”,normal
43,卡的根本进不去,normal
44,那个我感觉和yankong一样,normal
45,"拿着工资不干人事儿。[CQ:face,id=36]真tm的恶心",normal
46,确实，咱们群人太多,normal
47,"[CQ:face,id=299][CQ:face,id=299]",normal
48,哈哈哈哈,normal
49,speexx我的练习100分才会给对应的满分嘛？,normal
50,而且单项很少,normal
51,"取消筛选[CQ:face,id=264]",normal
52,"[CQ:reply,id=1489845997]SB??，我要是管理就禁你言了",normal
53,"[CQ:face,id=264]",normal
54,可能确实不大懂,normal
55,食堂好像有领导检查,normal
56,没进群,normal
57,我认识个人就爱用这个表情,normal
58,细锁,normal
59,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：738416529，赶紧加入吧,fraud
60,什么是crush,normal
61,所以应该几点去,normal
62,去找工作能不能找个二三十k的都难说,normal
63,钱多捏,normal
64,招募勤工俭学同学（男女不限），日结180元，无需押金，线上兼职，加入QQ群：429876153，一起赚钱,fraud
65,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：759826341，赶紧加入吧,fraud
66,能不能好点啊？,normal
67,我们老师说超过10的就别填,normal
68,除非有人跟你做过一模一样的啊,normal
69,都忘了还报了空天院,normal
70,"[CQ:reply,id=-2023202944][CQ:at,qq=1131226480] [CQ:at,qq=1131226480] 俺用",normal
71,我想过,normal
72,???,normal
73,问到点上了,normal
74,"[CQ:reply,id=-1135197263]有用吗",normal
75,我们报海洋机会也不大吧,normal
76,"[CQ:face,id=343][CQ:face,id=343][CQ:face,id=343]",normal
77,好像我记得有个学校夏令营不给优营了,normal
78,建议你们修炼下内心，对别人的看法别那么敏感,normal
79,现在是修改不了信息了吗,normal
80,那就不知道了，我大三,normal
81,招聘勤工俭学兼职，每日结算，待遇优厚。加入QQ群：613984275，详聊,fraud
